['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180510T94033_11_62'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180219T094031_9_55'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Inland marshes']","[5, 1, 0, 3, 22]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180228T101021_80_75'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest']","[2, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_71_70'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_65_18'],"['Mixed forest', 'Inland marshes', 'Water bodies']","[0, 22, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_56_36'],"['Non-irrigated arable land', 'Pastures', 'Inland marshes']","[2, 7, 22]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T094131_80_48'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_21_46'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_7_31'],"['Vineyards', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub']","[20, 7, 6, 5, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101032_66_42'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93021_4_39'],"['Non-irrigated arable land', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest']","[2, 7, 5, 4, 0]"
